"","ref251.pos","Animal:3216 Week3: plasma","Animal:3216 Week8: plasma","Animal:3216 Week9: R ing LN","Animal:3216 Week9: R cran HLN 1 gran","Animal:3216 Week9: R cran HLN 2","Animal:3216 Week9: RML","mean","count"
"1",94,NA,NA,NA,NA,NA,NA,NA,NA
"2",95,0,0,0,0,0,0,0,0
"3",96,0,0,0,0,0,0,0,0
"4",97,0,0,0,0,0,0,0,0
"5",98,7.4376086059893e-05,3.91200594624904e-05,5.76493478417525e-05,4.96779214757655e-05,6.792094002581e-05,4.36395374209033e-05,5.53973153811025e-05,6
"6",99,7.08836832511983e-05,0.000117150890346767,2.87790488524354e-05,4.96048149740401e-05,0,0,4.44030729040734e-05,4
"7",100,1.34566862910008e-05,3.89372720547198e-05,1.43383565375737e-05,1.647935137273e-05,0,4.34310532030402e-05,2.11071199098441e-05,5
"8",101,7.0601999717592e-05,3.89125246445989e-05,4.29836375619681e-05,8.23411228035505e-05,0.000135116876097825,4.34008940584176e-05,6.88928424806586e-05,6
"9",102,0,0,0,0,0,0,0,0
"10",103,0.000117563677526192,0.000155478679986007,8.58602481361171e-05,0.000131604922024084,6.7371825102742e-05,0,9.29798921291902e-05,5
"11",104,0,0,0,0,0,0,0,0
"12",105,7.0453958338226e-05,6.47106785561753e-05,8.57510361583536e-05,1.64306135191088e-05,0,4.32619511139952e-05,4.67680396143098e-05,5
"13",106,7.03760426545843e-05,0.000116294094844295,0.000114182949631046,0.000131231443053756,6.7258541834813e-05,4.32058759991359e-05,9.04248246696051e-05,6
"14",107,0,0,0,0,0,0,0,0
"15",108,0.000140537791281303,0.000129008953221354,0.000213818368423303,6.55179191508878e-05,6.70106546940964e-05,4.29959583799123e-05,0.000109814940858476,6
"16",109,0,0,0,0,0,0,0,0
"17",110,4.34117639201491e-05,2.57592540120038e-05,0,0,0,0,1.15285029886921e-05,2
"18",111,7.00352510763751e-05,5.14535631592488e-05,7.10620940577877e-05,9.79351995429691e-05,0,0,4.84143513060634e-05,4
"19",112,3.66663000036666e-05,6.42904901506969e-05,7.10388724710161e-05,0,0,4.19357544242221e-05,3.56552361749336e-05,4
"20",113,3.33024730416481e-06,0,0,1.62946064852534e-05,0,0,3.27080896490303e-06,2
"21",114,0,0,0,0,0,0,0,0
"22",115,3.32683491579781e-06,0,0,0,0,0,5.54472485966301e-07,1
"23",116,0,0,0,0,0,0,0,0
"24",117,0,0,0,0,0,0,0,0
"25",118,0,0,0,0,0,0,0,0
"26",119,0,0,0,0,0,0,0,0
"27",120,6.64067947432381e-06,0,0,3.2485462755417e-05,0,0,6.52102370495679e-06,2
"28",121,0,0,0,0,0,0,0,0
"29",122,0,0,0,0,0,0,0,0
"30",123,0,0,0,0,0,0,0,0
"31",124,0,0,0,0,0,0,0,0
"32",125,0,0,0,0,0,0,0,0
"33",126,0,0,0,0,0,0,0,0
"34",127,0,0,0,0,0,0,0,0
"35",128,0,0,0,0,0,0,0,0
"36",129,0,0,0,0,0,0,0,0
"37",130,0,0,0,0,0,0,0,0
"38",131,0,0,0,0,0,0,0,0
"39",132,0,0,0,0,0,0,0,0
"40",133,0,0,0,0,0,0,0,0
"41",134,0,0,0,0,0,0,0,0
"42",135,0,0,0,0,0,0,0,0
"43",136,0,0,0,0,0,0,0,0
"44",137,0,0,0,0,0,0,0,0
"45",138,0,0,0,1.62221789630783e-05,0,0,2.70369649384639e-06,1
"46",139,0,0,0,0,0,0,0,0
"47",140,0,0,0,0,0,0,0,0
"48",141,0,0,0,0,0,0,0,0
"49",142,0,0,0,0,0,0,0,0
"50",143,0,0,0,0,0,0,0,0
"51",144,0,0,0,0,0,0,0,0
"52",145,3.32127709746952e-06,1.28509927391891e-05,0,0,0,0,2.69537830610977e-06,2
"53",146,0,0,0,0,0,0,0,0
"54",147,0,0,0,0,0,0,0,0
"55",148,3.31888512011045e-06,2.56901003198417e-05,1.41438714604962e-05,1.62121850783049e-05,0,0,9.89417366312554e-06,4
"56",149,0,0,0,0,0,0,0,0
"57",150,0,0,0,0,0,0,0,0
"58",151,0,0,0,0,0,0,0,0
"59",152,3.31573781797926e-06,2.56647161482394e-05,0,0,0,8.2904990880451e-05,1.86475741411116e-05,3
"60",153,0,0,0,0,0,0,0,0
"61",154,6.63165154650114e-06,3.84921347737946e-05,0,0,0,0,7.52063105338262e-06,2
"62",155,0,0,0,0,0,0,0,0
"63",156,0,0,0,0,0,0,0,0
"64",157,0,0,0,0,0,0,0,0
"65",158,0,0,2.82581666101503e-05,0,0,0,4.70969443502506e-06,1
"66",159,0,0,0,0,0,0,0,0
"67",160,0,0,0,0,0,0,0,0
"68",161,0,0,0,0,0,0,0,0
"69",162,0,0,0,0,0,0,0,0
"70",163,0,0,0,0,0,0,0,0
"71",164,0,0,0,0,0,0,0,0
"72",165,0,0,0,0,0,0,0,0
"73",166,0,0,0,0,0,0,0,0
"74",167,0,0,0,0,0,0,0,0
"75",168,0,0,0,0,0,0,0,0
"76",169,0,0,0,0,0,0,0,0
"77",170,0,0,0,0,0,0,0,0
"78",171,0,0,0,0,0,0,0,0
"79",172,0,0,0,0,0,0,0,0
"80",173,0,0,0,0,0,0,0,0
"81",174,0,0,0,0,0,0,0,0
"82",175,0,0,0,0,0,0,0,0
"83",176,0,0,0,0,0,0,0,0
"84",177,0,0,0,0,0,0,0,0
"85",178,0,0,0,0,0,0,0,0
"86",179,0,0,0,0,0,0,0,0
"87",180,0,0,0,0,0,0,0,0
"88",181,0,0,0,0,0,0,0,0
"89",182,3.30396111898555e-06,0,0,0,0,0,5.50660186497592e-07,1
"90",183,0,0,0,0,0,0,0,0
"91",184,0,0,0,0,0,0,0,0
"92",185,0,0,0,0,0,0,0,0
"93",186,0,0,0,0,0,0,0,0
"94",187,0,0,0,0,0,0,0,0
"95",188,0,0,0,0,0,0,0,0
"96",189,0,0,0,0,0,0,0,0
"97",190,0,0,0,0,0,0,0,0
"98",191,6.58854844394957e-06,0,0,0,0,0,1.09809140732493e-06,1
"99",192,0,0,0,0,0,0,0,0
"100",193,0,0,0,0,0,0,0,0
"101",194,0,0,0,0,0,0,0,0
"102",195,0,0,0,0,0,0,0,0
"103",196,0,0,0,0,0,0,0,0
"104",197,0,0,0,0,0,0,0,0
"105",198,0,0,0,0,0,0,0,0
"106",199,0,0,0,0,0,0,0,0
"107",200,0,0,0,0,0,0,0,0
"108",201,0,0,0,0,0,0,0,0
"109",202,0,0,1.402839346838e-05,0,0,0,2.33806557806333e-06,1
"110",203,0,0,0,0,0,0,0,0
"111",204,0,0,0,0,0,0,0,0
"112",205,0,0,0,0,0,0,0,0
"113",206,0,0,0,0,0,0,0,0
"114",207,3.28734339917882e-06,0,0,0,0,0,5.47890566529804e-07,1
"115",208,0,0,0,0,0,0,0,0
"116",209,0,0,0,0,0,0,0,0
"117",210,0,0,0,0,0,0,0,0
"118",211,0,0,0,0,0,0,0,0
"119",212,0,0,0,0,0,0,0,0
"120",213,0,0,0,0,0,0,0,0
"121",214,0,0,0,0,0,0,0,0
"122",215,0,0,0,0,0,0,0,0
"123",216,3.29271223999921e-06,0,0,0,0,0,5.48785373333202e-07,1
"124",217,0,0,0,0,0,0,0,0
"125",218,0,0,0,0,0,0,0,0
"126",219,0,0,0,0,0,0,0,0
"127",220,0,0,0,0,6.54621628698612e-05,0,1.09103604783102e-05,1
"128",221,0,0,0,0,0,0,0,0
"129",222,0,0,0,0,0,0,0,0
"130",223,0,0,0,0,0,0,0,0
"131",224,0,0,0,0,0,0,0,0
"132",225,0,0,0,0,0,0,0,0
"133",226,0,0,0,0,0,0,0,0
"134",227,0,0,0,0,0,0,0,0
"135",228,0,0,0,0,0,0,0,0
"136",229,0,0,0,0,0,0,0,0
"137",230,0,0,0,0,0,0,0,0
"138",231,0,0,0,0,0,0,0,0
"139",232,0,0,0,0,0,0,0,0
"140",233,0,0,0,0,0,0,0,0
"141",234,0,0,0,0,0,0,0,0
"142",235,0,1.27710658731578e-05,4.2272573554278e-05,0,0,0,9.17393990457263e-06,2
"143",236,0,0,0,0,0,0,0,0
"144",237,3.30928585611225e-06,0,0,0,0,0,5.51547642685375e-07,1
"145",238,0,0,0,0,0,0,0,0
"146",239,0,0,0,0,0,0,0,0
"147",240,0,0,0,0,0,0,0,0
"148",241,0,0,0,0,0,0,0,0
"149",242,0,0,0,0,0,0,0,0
"150",243,0,0,0,0,0,0,0,0
"151",244,0,0,0,0,0,0,0,0
"152",245,0,0,0,0,0,0,0,0
"153",246,0,0,0,0,0,0,0,0
"154",247,0,0,0,0,0,0,0,0
"155",248,0,0,0,0,0,0,0,0
"156",249,0,0,0,0,0,0,0,0
"157",250,0,0,0,0,0,0,0,0
"158",251,0,0,0,0,0,0,0,0
"159",252,0,0,0,0,0,0,0,0
"160",253,0,0,0,0,0,0,0,0
"161",254,0,0,0,0,0,0,0,0
