"","ref251.pos","Animal:16314 Week3: plasma","Animal:16314 Week8: plasma","Animal:16314 Week8: L ing LN","Animal:16314 Week8: L cran HLN 1","Animal:16314 Week8: R carinal LN gran ","Animal:16314 Week8: *RLL gran 6","Animal:16314 Week8: RLL gran 4","Animal:16314 Week8: RLL gran D","Animal:16314 Week8: RLL gran E","Animal:16314 Week8: R cran HLN ","mean","count"
"1",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",95,0,0,0,0,0,0,0,0,0,0,0,0
"3",96,0,0,0,0,0,0,0,0,0,0,0,0
"4",97,0,0,0,0,0,0,0,0,0,0,0,0
"5",98,7.73460225648614e-05,9.97630627260257e-05,6.28012497448699e-05,0,0,0.000123906963571353,6.18779060516592e-05,6.59401527173937e-05,0,0,4.91635357376163e-05,6
"6",99,5.37148880883879e-05,3.32037005524266e-05,6.27146015271005e-05,3.45315791291136e-05,1.88433925643973e-05,7.07613925842061e-05,9.71808712706841e-05,3.95385412914166e-05,0,0,4.10488967007733e-05,8
"7",100,2.00820015061501e-05,2.06900547045046e-05,1.56374611018155e-05,2.29492019415025e-05,1.8777932174109e-05,0,1.76268915858033e-05,0,0,0,1.15763543013885e-05,6
"8",101,6.35562037544991e-05,6.20301218271593e-05,5.46951915113063e-05,5.73302451441282e-05,7.50567616760175e-05,5.29483400695388e-05,3.52311161217587e-05,3.50359337295313e-05,0,0,4.35883913833939e-05,8
"9",102,0,0,0,0,0,0,0,0,0,0,0,0
"10",103,0.000123662688293154,0.000115682880173194,0.000218480313363192,0.000103080975833238,9.37189555959588e-05,0.000140892199855585,6.15384615384615e-05,0.000109287228694455,0,0,9.66343703347239e-05,8
"11",104,0,0,0,0,0,0,0,0,0,0,0,0
"12",105,5.6755204786133e-05,8.6672995171076e-05,7.79392852967538e-05,5.720823798627e-05,5.61650503613285e-05,7.03705006861124e-05,7.02623420195154e-05,6.11444493942332e-05,0.000133922592741395,0,6.70440658442818e-05,9
"13",106,0.00012334607909484,0.000107172741849719,9.34062940274459e-05,0.000125666891343836,0.000168230588059367,0.000123042308976815,0.000105299181298865,7.85494534267199e-05,0,0.000227686703096539,0.000115240024117415,9
"14",107,0,0,7.77707784077211e-06,0,0,0,0,0,0,0,7.77707784077211e-07,1
"15",108,0.000123163367885651,0.00011937349496779,0.000139875355516529,0.000182537962191825,0.000205258345617734,0.000210626086040756,0.00013137727173199,0.000174231963724905,0,0.000113378684807256,0.000139982253248444,9
"16",109,0,0,0,0,0,0,8.74928912025898e-06,0,0,0,8.74928912025898e-07,1
"17",110,2.65758657918778e-05,1.23272642102538e-05,5.42968174308297e-05,2.27816379997722e-05,0,1.75082288675678e-05,1.74614538406468e-05,1.73767984986446e-05,0.000394425453589272,0,5.62753520228864e-05,8
"18",111,5.97230839673381e-05,7.38694890283289e-05,6.19713072847272e-05,5.68789388665165e-05,0.000148853825543316,3.496381245411e-05,8.71725580787168e-05,9.54152950718e-05,0,0,6.18848310294854e-05,8
"19",112,2.65296850594762e-05,1.64087081013894e-05,4.64489758000836e-05,2.27404518527783e-05,3.7196845707484e-05,3.49283967865875e-05,3.48404741788536e-05,4.33369447453954e-05,0,0,2.62430482232048e-05,8
"20",113,9.93950156712808e-06,1.22944269362698e-05,7.73293534492758e-06,0,0,0,0,4.32312786947612e-06,0,0,3.42899917178016e-06,4
"21",114,0,0,0,0,1.85752763072351e-05,0,0,0,0,0,1.85752763072351e-06,1
"22",115,9.9306180816694e-06,8.18927041789847e-06,0,0,0,0,0,1.29475537755067e-05,0,0,3.10674422750746e-06,3
"23",116,0,0,0,0,0,1.7369856351288e-05,0,0,0,0,1.7369856351288e-06,1
"24",117,0,0,0,0,0,0,0,0,0,0,0,0
"25",118,0,0,7.71188401326444e-06,0,0,0,0,0,0,0,7.71188401326444e-07,1
"26",119,0,0,0,0,0,0,0,0,0,0,0,0
"27",120,1.32144473552935e-05,0,0,0,1.85291556263781e-05,0,1.73005890850583e-05,4.30396308921255e-06,0,0,5.33481551559425e-06,4
"28",121,0,0,0,0,0,0,0,0,0,0,0,0
"29",122,0,0,0,0,0,0,0,0,0,0,0,0
"30",123,0,0,0,0,0,0,0,8.59206179410842e-06,0,0,8.59206179410842e-07,1
"31",124,1.65016501650165e-05,0,0,0,0,0,8.63103201249773e-06,0,0,0,2.51326821775142e-06,2
"32",125,0,0,0,0,0,0,0,0,0,0,0,0
"33",126,0,0,0,0,0,0,0,0,0,0,0,0
"34",127,0,0,0,0,0,0,0,0,0,0,0,0
"35",128,0,0,0,0,0,0,0,0,0,0,0,0
"36",129,0,0,0,0,0,0,0,0,0,0,0,0
"37",130,0,0,0,0,0,0,0,0,0,0,0,0
"38",131,0,0,0,0,0,0,0,0,0,0,0,0
"39",132,0,0,0,0,0,0,0,0,0,0,0,0
"40",133,0,0,0,0,0,0,0,0,0,0,0,0
"41",134,0,0,0,0,0,0,0,0,0,0,0,0
"42",135,0,0,0,0,0,0,0,0,0,0,0,0
"43",136,0,0,7.69396485396855e-06,0,0,0,0,0,0,0,7.69396485396855e-07,1
"44",137,0,0,0,0,0,0,0,0,0,0,0,0
"45",138,0,0,0,0,0,0,0,0,0,0,0,0
"46",139,0,0,0,0,0,0,0,0,0,0,0,0
"47",140,0,0,0,0,0,0,0,0,0,0,0,0
"48",141,0,0,0,0,0,0,0,0,0,0,0,0
"49",142,0,0,0,0,0,0,0,0,0,0,0,0
"50",143,0,0,0,0,0,0,0,0,0,0,0,0
"51",144,0,0,0,0,0,0,0,0,0,0,0,0
"52",145,0,0,0,0,0,0,0,0,0,0,0,0
"53",146,0,0,0,0,0,0,0,0,0,0,0,0
"54",147,0,0,0,0,0,0,0,0,0,0,0,0
"55",148,9.90631924104386e-06,4.08792304893653e-06,2.31028693763765e-05,2.25863646116839e-05,0,0,0,1.71005211383817e-05,0,0,7.67839974164225e-06,5
"56",149,0,0,0,0,0,0,0,0,0,0,0,0
"57",150,0,0,0,0,0,0,0,0,0,0,0,0
"58",151,0,0,0,0,0,0,0,0,0,0,0,0
"59",152,9.897168420115e-06,0,0,1.12809521123583e-05,0,1.72122964645943e-05,0,0,0,0,3.83904169970676e-06,3
"60",153,0,0,0,0,0,0,0,0,0,0,0,0
"61",154,6.59865651353384e-06,4.08383292222749e-06,0,2.25570693855454e-05,0,0,1.71715090322138e-05,0,0,0,5.04110678535205e-06,4
"62",155,0,0,0,0,0,0,0,0,0,0,0,0
"63",156,0,0,0,0,0,0,0,0,0,0,0,0
"64",157,0,0,0,0,0,0,0,0,0,0,0,0
"65",158,3.29742438181536e-06,4.08176593521421e-06,0,0,3.70130470991024e-05,0,0,4.2595424399511e-06,0,0,4.86517798560831e-06,4
"66",159,0,0,0,0,0,0,0,0,0,0,0,0
"67",160,0,0,0,0,0,0,0,0,0,0,0,0
"68",161,0,0,0,0,0,0,0,0,0,0,0,0
"69",162,0,0,0,0,0,0,0,0,0,0,0,0
"70",163,0,0,0,0,0,0,0,0,0,0,0,0
"71",164,0,0,0,0,0,0,0,0,0,0,0,0
"72",165,0,0,0,0,0,0,0,0,0,0,0,0
"73",166,0,0,0,0,0,0,0,0,0,0,0,0
"74",167,0,0,0,0,0,0,0,0,0,0,0,0
"75",168,0,0,0,0,0,0,0,0,0,0,0,0
"76",169,0,0,0,0,0,0,0,0,0,0,0,0
"77",170,0,0,0,0,0,0,0,0,0,0,0,0
"78",171,0,0,0,0,0,0,0,0,0,0,0,0
"79",172,0,0,0,0,0,0,0,0,0,0,0,0
"80",173,0,0,0,0,0,0,0,0,0,0,0,0
"81",174,0,0,0,0,0,0,0,0,0,0,0,0
"82",175,0,0,0,0,0,0,0,0,0,0,0,0
"83",176,0,0,0,0,0,0,0,0,0,0,0,0
"84",177,0,0,0,0,0,0,0,0,0,0,0,0
"85",178,0,0,0,0,0,0,0,0,0,0,0,0
"86",179,0,0,0,0,0,0,0,0,0,0,0,0
"87",180,0,0,0,0,0,0,0,0,0,0,0,0
"88",181,0,0,0,0,0,0,0,0,0,0,0,0
"89",182,0,0,0,0,0,0,0,0,0,0,0,0
"90",183,0,0,0,0,0,0,0,0,0,0,0,0
"91",184,0,0,0,0,0,0,0,0,0,0,0,0
"92",185,0,0,0,0,0,0,0,0,0,0,0,0
"93",186,0,0,0,0,0,0,0,0,0,0,0,0
"94",187,0,0,0,0,0,0,0,0,0,0,0,0
"95",188,0,4.05835920537327e-06,0,0,1.84389578301034e-05,0,0,0,0,0,2.24973170354767e-06,2
"96",189,0,0,0,0,0,0,0,0,0,0,0,0
"97",190,0,0,0,0,0,0,0,0,0,0,0,0
"98",191,3.2800543176995e-06,1.21597302161189e-05,0,0,0,0,0,8.40608095896572e-06,0,0,2.38458654927842e-06,3
"99",192,0,0,0,0,0,0,0,0,0,0,0,0
"100",193,0,0,0,0,0,0,0,0,0,0,0,0
"101",194,0,0,0,0,0,0,0,0,0,0,0,0
"102",195,0,0,0,0,0,0,0,0,0,0,0,0
"103",196,0,0,0,0,0,1.67464916100077e-05,0,0,0,0,1.67464916100077e-06,1
"104",197,0,0,0,0,0,0,0,0,0,0,0,0
"105",198,0,0,0,0,0,0,0,4.18872729709805e-06,0,0,4.18872729709805e-07,1
"106",199,0,0,0,0,0,0,0,0,0,0,0,0
"107",200,0,0,0,0,0,0,0,0,0,0,0,0
"108",201,0,0,0,0,0,0,0,0,0,0,0,0
"109",202,0,0,0,0,1.84077312471238e-05,0,0,4.19037721775714e-06,0,0,2.25981084648809e-06,2
"110",203,0,0,0,0,0,0,0,0,0,0,0,0
"111",204,0,0,0,0,0,0,0,0,0,0,0,0
"112",205,0,0,0,0,0,0,0,1.66727105242317e-05,0,0,1.66727105242317e-06,1
"113",206,0,0,0,0,0,0,0,0,0,0,0,0
"114",207,0,0,0,0,0,0,0,0,0,0,0,0
"115",208,0,0,0,0,0,0,0,0,0,0,0,0
"116",209,0,0,0,0,0,0,0,0,0,0,0,0
"117",210,0,0,0,0,0,0,0,0,0,0,0,0
"118",211,0,0,0,0,0,0,0,0,0,0,0,0
"119",212,0,0,0,0,0,0,0,0,0,0,0,0
"120",213,0,0,0,0,0,0,0,0,0,0,0,0
"121",214,0,0,0,0,0,0,0,0,0,0,0,0
"122",215,0,4.05398283543667e-06,0,0,0,0,0,0,0,0,4.05398283543667e-07,1
"123",216,0,0,0,0,0,0,0,0,0,0,0,0
"124",217,0,0,0,0,0,0,0,0,0,0,0,0
"125",218,0,0,0,0,0,0,0,0,0,0,0,0
"126",219,0,0,0,0,0,0,0,0,0,0,0,0
"127",220,0,0,0,0,0,0,0,0,0,0,0,0
"128",221,0,0,0,0,0,0,0,0,0,0,0,0
"129",222,0,0,0,0,0,0,0,0,0,0,0,0
"130",223,0,0,0,0,0,0,0,0,0,0,0,0
"131",224,0,0,0,0,0,0,0,0,0,0,0,0
"132",225,0,0,0,0,0,0,0,0,0,0,0,0
"133",226,0,0,0,0,0,0,0,0,0,0,0,0
"134",227,0,0,0,0,0,0,0,0,0,0,0,0
"135",228,0,0,0,0,0,0,0,0,0,0,0,0
"136",229,0,0,0,0,0,0,0,0,0,0,0,0
"137",230,0,0,0,0,0,0,0,0,0,0,0,0
"138",231,0,0,0,0,0,0,0,0,0,0,0,0
"139",232,3.28910582369077e-06,4.06993781135024e-06,0,0,0,0,0,0,0,0,7.35904363504101e-07,2
"140",233,0,0,0,0,0,0,0,0,0,0,0,0
"141",234,0,0,0,0,0,0,0,0,0,0,0,0
"142",235,0,0,0,0,0,0,0,4.19331166788972e-06,0,0,4.19331166788972e-07,1
"143",236,0,0,0,0,0,0,0,0,0,0,0,0
"144",237,6.58655223629915e-06,0,7.70410089290529e-06,0,0,1.64335836715913e-05,0,0,0,0,3.07242368007957e-06,3
"145",238,0,0,0,0,0,0,0,0,0,0,0,0
"146",239,0,0,0,0,0,0,0,0,0,0,0,0
"147",240,0,0,0,0,0,0,0,0,0.000136351240796291,0,1.36351240796291e-05,1
"148",241,0,0,0,0,0,0,0,0,0,0,0,0
"149",242,0,0,0,0,0,0,0,0,0,0,0,0
"150",243,0,0,0,0,0,0,0,0,0,0,0,0
"151",244,0,0,0,0,0,0,0,0,0,0,0,0
"152",245,0,0,0,0,0,0,0,0,0,0,0,0
"153",246,0,0,0,0,0,0,0,0,0,0,0,0
"154",247,0,0,0,0,0,0,0,0,0,0,0,0
"155",248,0,0.000474259174461961,0,0,0,0,0,0,0,0,4.74259174461961e-05,1
"156",249,0,0,0,0,0,0,0,0,0,0,0,0
"157",250,0,0,0,0,0,0,0,0,0,0,0,0
"158",251,0,0,0,0,0,0,0,0,0,0,0,0
"159",252,0,0,0,0,0,0,0,0,0,0,0,0
"160",253,0,0,0,0,0,0,0,0,0,0,0,0
"161",254,0,0,0,0,0,0,0,0,0,0,0,0
"162",255,0,0,0,0,0,0,0,0,0,0,0,0
"163",256,0,0,0,0,0,0,0,0,0,0,0,0
"164",257,0,0,0,0,0,0,8.4096509153905e-06,0,0,0,8.4096509153905e-07,1
"165",258,0,0,0,0,0,0,0,0,0,0,0,0
"166",259,0,0,0,0,0,0,0,0,0,0,0,0
