"","label","freq.mutations","Tissue2","Tissue3","filename"
"2","Stock_Stock_0",0.00217099802056063,"Stock","Stock","Stock"
"3","Stock_Stock_0",0.00135332803519805,"Stock","Stock","Stock"
"4","Stock_Stock_0",0.00101573528905416,"Stock","Stock","Stock"
"5","Stock_Stock_0",0.00120261138472111,"Stock","Stock","Stock"
"6","Stock_Stock_0",0.000578259724496456,"Stock","Stock","Stock"
"7","Stock_Stock_0",0.000856800137088022,"Stock","Stock","Stock"
"8","Stock_Stock_0",0.000605147176360439,"Stock","Stock","Stock"
"9","Stock_Stock_0",0.000285507089141023,"Stock","Stock","Stock"
"10","Stock_Stock_0",0.000381807717074783,"Stock","Stock","Stock"
"11","Stock_Stock_0",0.000975198033635778,"Stock","Stock","Stock"
"12","Stock_Stock_0",0.00065469243687911,"Stock","Stock","Stock"
"13","Stock_Stock_0",0.000506280149267316,"Stock","Stock","Stock"
"14","Stock_Stock_0",0.000795947490207003,"Stock","Stock","Stock"
"15","Stock_Stock_0",0.000715307582260372,"Stock","Stock","Stock"
"16","Stock_Stock_0",0.000431132289539369,"Stock","Stock","Stock"
"17","Stock_Stock_0",0.000373563055745796,"Stock","Stock","Stock"
"18","Stock_Stock_0",0.000689522646862672,"Stock","Stock","Stock"
"19","Stock_Stock_0",0.00101088822625825,"Stock","Stock","Stock"
"20","Stock_Stock_0",0.000743775109453269,"Stock","Stock","Stock"
"21","Stock_Stock_0",0.00114850637871435,"Stock","Stock","Stock"
"22","Stock_Stock_0",0.00175390271461417,"Stock","Stock","Stock"
"23","Stock_Stock_0",0.00100492356405405,"Stock","Stock","Stock"
"24","Stock_Stock_0",0.00214371895956677,"Stock","Stock","Stock"
"25","Stock_Stock_0",0.00148076685774542,"Stock","Stock","Stock"
"26","Stock_Stock_0",0.00227670360235072,"Stock","Stock","Stock"
"27","Stock_Stock_0",0.00153596053590448,"Stock","Stock","Stock"
"28","Stock_Stock_0",0.000751045298120145,"Stock","Stock","Stock"
"29","Stock_Stock_0",0.000683224596085459,"Stock","Stock","Stock"
"30","Stock_Stock_0",0.000509102301589966,"Stock","Stock","Stock"
